index,code,date,token,token_7,close_b1,close_b2,close_b3
沪深300,sh000300,2025-04-22,跌涨跌_反转,转折,3784.88,3783.9500000000003,3786.88
沪深300,sh000300,2025-04-23,顶分型,顶分型,3783.9500000000003,3786.88,3784.36
沪深300,sh000300,2025-04-24,底分型,底分型,3786.88,3784.36,3786.9900000000002
沪深300,sh000300,2025-04-25,包含关系,包含关系,3784.36,3786.9900000000002,3781.62
沪深300,sh000300,2025-04-28,简单下跌,方向,3786.9900000000002,3781.62,3775.08
沪深300,sh000300,2025-04-29,底分型,底分型,3781.62,3775.08,3770.57
沪深300,sh000300,2025-04-30,跌涨跌_反转,转折,3775.08,3770.57,3808.54
沪深300,sh000300,2025-05-06,简单上涨,方向,3770.57,3808.54,3831.63
沪深300,sh000300,2025-05-07,简单上涨,方向,3808.54,3831.63,3852.9
沪深300,sh000300,2025-05-08,顶分型,顶分型,3831.63,3852.9,3846.16
沪深300,sh000300,2025-05-09,包含关系,包含关系,3852.9,3846.16,3890.61
沪深300,sh000300,2025-05-12,简单上涨,方向,3846.16,3890.61,3896.26
沪深300,sh000300,2025-05-13,简单上涨,方向,3890.61,3896.26,3943.21
沪深300,sh000300,2025-05-14,包含关系,包含关系,3896.26,3943.21,3907.2000000000003
沪深300,sh000300,2025-05-15,包含关系,包含关系,3943.21,3907.2000000000003,3889.09
沪深300,sh000300,2025-05-16,简单下跌,方向,3907.2000000000003,3889.09,3877.15
沪深300,sh000300,2025-05-19,底分型,底分型,3889.09,3877.15,3898.17
沪深300,sh000300,2025-05-20,简单上涨,方向,3877.15,3898.17,3916.38
沪深300,sh000300,2025-05-21,顶分型,顶分型,3898.17,3916.38,3913.87
沪深300,sh000300,2025-05-22,包含关系,包含关系,3916.38,3913.87,3882.27
沪深300,sh000300,2025-05-23,包含关系,包含关系,3913.87,3882.27,3860.11
沪深300,sh000300,2025-05-26,简单下跌,方向,3882.27,3860.11,3839.4
沪深300,sh000300,2025-05-27,简单下跌,方向,3860.11,3839.4,3836.2400000000002
沪深300,sh000300,2025-05-28,跌涨跌_反转,转折,3839.4,3836.2400000000002,3858.7000000000003
沪深300,sh000300,2025-05-29,包含关系,包含关系,3836.2400000000002,3858.7000000000003,3840.23
沪深300,sh000300,2025-05-30,底分型,底分型,3858.7000000000003,3840.23,3852.01
沪深300,sh000300,2025-06-03,简单上涨,方向,3840.23,3852.01,3868.7400000000002
沪深300,sh000300,2025-06-04,简单上涨,方向,3852.01,3868.7400000000002,3877.56
沪深300,sh000300,2025-06-05,涨跌涨,转折,3868.7400000000002,3877.56,3873.98
